Time: 2024-06-13 15:17:05, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 15:17:10, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 15:17:15, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 15:17:20, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 15:17:26, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 15:17:31, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 15:17:36, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 15:17:42, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 15:17:47, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 15:17:52, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 15:17:58, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 15:18:03, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 15:18:08, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 15:18:14, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 15:22:51, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 15:22:56, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 15:23:02, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 15:23:07, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 15:23:12, Temperature: 28.00 C, Humidity: 67.00 %
Time: 2024-06-13 15:23:18, Temperature: 28.00 C, Humidity: 67.00 %
Time: 2024-06-13 15:58:01, Temperature: 28.00 C, Humidity: 68.00 %
Time: 2024-06-13 15:58:09, Temperature: 28.00 C, Humidity: 68.00 %
Time: 2024-06-13 15:58:15, Temperature: 28.00 C, Humidity: 68.00 %
Time: 2024-06-13 15:58:20, Temperature: 28.00 C, Humidity: 68.00 %
Time: 2024-06-13 15:58:25, Temperature: 28.00 C, Humidity: 68.00 %
Time: 2024-06-13 15:58:31, Temperature: 28.00 C, Humidity: 68.00 %
Time: 2024-06-13 15:58:36, Temperature: 28.00 C, Humidity: 67.00 %
Time: 2024-06-13 16:00:32, Temperature: 27.00 C, Humidity: 67.00 %
Time: 2024-06-13 16:00:37, Temperature: 27.00 C, Humidity: 67.00 %
Time: 2024-06-13 16:00:42, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:00:48, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:00:53, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:00:58, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:03, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:09, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:14, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:19, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:25, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:30, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:35, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:41, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:46, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:51, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:01:57, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:02, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:07, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:12, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:18, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:23, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:28, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:34, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:39, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:44, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:50, Temperature: 27.00 C, Humidity: 68.00 %
Time: 2024-06-13 16:02:55, Temperature: 27.00 C, Humidity: 68.00 %
